film,year,script_type,Rotten_Tomatoes,Metacritic,Average_critics,Rotten_Tomatoes_Audience,Metacritic_Audience,Rotten_Tomatoes_vs_Metacritic_deviance,Average_audience,Audience_vs_Critics_deviance,Genre,Opening_Weekend,Opening_weekend_million,Domestic_Gross,Domestic_gross_million,Foreign_Gross_million,Foreign_Gross,Worldwide_Gross,Worldwide_Gross_million,Prcnt_of_Gross_earned_abroad,Budget_million,Budget_recovered,Budget_recovered_opening_weekend
Morning Glory,2010,original screenplay,54,57,55.5,54,66,-12,60,-4.5,comedy romance,9200000.00,9.2,31010000.00,31.01,29.03,29030000,60040000,60.04,48.35,40,150.1,23
The Bounty Hunter,2010,original screenplay,7,22,14.5,41,37,4,39,-24.5,action comedy romance,20700000.00,20.7,67060000.00,67.06,69.27,69270000,136330000,136.33,50.81,40,340.83,51.75
The Karate Kid,2010,remake / reboot,66,61,63.5,75,68,7,71.5,-8,action family sport,55700000.00,55.7,176590000.00,176.59,182.53,182530000,359120000,359.12,50.83,40,897.8,139.25
Get Him to the Greek,2010,sequel,73,65,69,63,69,-6,66,3,comedy music,17600000.00,17.6,60970000.00,60.97,30.29,30290000,91260000,91.26,33.19,40,228.15,44
Predators,2010,sequel,64,51,57.5,52,63,-11,57.5,0,action adventure sci-fi,24800000.00,24.8,52000000.00,52,75.23,75230000,127230000,127.23,59.13,40,318.08,62
True Grit,2010,adaptation,96,80,88,86,78,8,82,6,adventure western,24000000.00,24,171240000.00,171.24,81.03,81030000,252270000,252.27,32.12,38,663.87,63.16
The Town,2010,adaptation,94,74,84,83,77,6,80,4,crime thriller,23800000.00,23.8,92190000.00,92.19,61.84,61840000,154030000,154.03,40.15,37,416.3,64.32
Hot Tub Time Machine,2010,original screenplay,64,63,63.5,57,64,-7,60.5,3,adventure comedy sci-fi,14000000.00,14,50290000.00,50.29,14.28,14280000,64570000,64.57,22.12,36,179.36,38.89
Furry Vengeance,2010,original screenplay,8,23,15.5,36,30,6,33,-17.5,comedy family,6600000.00,6.6,17630000.00,17.63,18.61,18610000,36240000,36.24,51.35,35,103.54,18.86
The Back-up Plan,2010,original screenplay,20,34,27,47,54,-7,50.5,-23.5,comedy romance,12200000.00,12.2,37490000.00,37.49,39.99,39990000,77480000,77.48,51.61,35,221.37,34.86
A Nightmare on Elm Street,2010,remake / reboot,13,35,24,40,53,-13,46.5,-22.5,horror mystery thriller,32900000.00,32.9,63080000.00,63.08,52.59,52590000,115670000,115.67,45.47,35,330.49,94
Nanny McPhee Returns,2010,sequel,77,52,64.5,54,51,3,52.5,12,comedy family fantasy,8400000.00,8.4,29010000.00,29.01,64.23,64230000,93240000,93.24,68.89,35,266.4,24
Repo Men,2010,adaptation,22,32,27,43,56,-13,49.5,-22.5,action crime sci-fi,6100000.00,6.1,13790000.00,13.79,4.62,4620000,18410000,18.41,25.1,32,57.53,19.06
Going the Distance,2010,original screenplay,53,51,52,56,55,1,55.5,-3.5,comedy romance,6900000.00,6.9,17800000.00,17.8,24.25,24250000,42050000,42.05,57.67,32,131.41,21.56
Takers,2010,original screenplay,27,45,36,57,57,0,57,-21,action crime thriller,20500000.00,20.5,57740000.00,57.74,11.31,11310000,69050000,69.05,16.38,32,215.78,64.06
Extraordinary Measures,2010,based on a true story,27,45,36,55,67,-12,61,-25,drama,6000000.00,6,12070000.00,12.07,3.07,3070000,15140000,15.14,20.28,31,48.84,19.35
Kick-Ass,2010,adaptation,76,66,71,83,83,0,83,-12,action comedy,19800000.00,19.8,48070000.00,48.07,48.12,48120000,96190000,96.19,50.03,30,320.63,66
Letters to Juliet,2010,adaptation,40,50,45,62,60,2,61,-16,comedy romance,13500000.00,13.5,53030000.00,53.03,26.15,26150000,79180000,79.18,33.03,30,263.93,45
Love & Other Drugs,2010,adaptation,48,55,51.5,55,61,-6,58,-6.5,comedy romance,9740000.00,9.74,32370000.00,32.37,70.44,70440000,102810000,102.81,68.51,30,342.7,32.47
Cop Out,2010,original screenplay,19,31,25,45,51,-6,48,-23,action comedy crime,18210000.00,18.21,44880000.00,44.88,10.71,10710000,55590000,55.59,19.27,30,185.3,60.7
The Next Three Days,2010,remake / reboot,51,52,51.5,66,69,-3,67.5,-16,crime romance,6540000.00,6.54,21150000.00,21.15,46.3,46300000,67450000,67.45,68.64,30,224.83,21.8
Step Up 3D,2010,sequel,46,45,45.5,67,61,6,64,-18.5,music romance,15800000.00,15.8,42400000.00,42.4,116.89,116890000,159290000,159.29,73.38,30,530.97,52.67
Case 39,2010,original screenplay,23,25,24,42,57,-15,49.5,-25.5,horror mystery thriller,5400000.00,5.4,13260000.00,13.26,14.93,14930000,28190000,28.19,52.96,26,108.42,20.77
Legion,2010,original screenplay,19,32,25.5,36,44,-8,40,-14.5,action fantasy horror,17500000.00,17.5,40170000.00,40.17,27.75,27750000,67920000,67.92,40.86,26,261.23,67.31
Dear John,2010,adaptation,29,43,36,66,59,7,62.5,-26.5,romance war,30400000.00,30.4,80010000.00,80.01,34.96,34960000,114970000,114.97,30.41,25,459.88,121.6
The Losers,2010,adaptation,47,44,45.5,55,65,-10,60,-14.5,action crime,9400000.00,9.4,23590000.00,23.59,5.79,5790000,29380000,29.38,19.71,25,117.52,37.6
The Fighter,2010,based on a true story,91,79,85,88,81,7,84.5,0.5,biography sport,12000000.00,12,93620000.00,93.62,35.54,35540000,129160000,129.16,27.52,25,516.64,48
Greenberg,2010,original screenplay,75,76,75.5,40,52,-12,46,29.5,comedy romance,110000.00,0.11,4230000.00,4.23,1.92,1920000,6150000,6.15,31.22,25,24.6,0.44
My Soul to Take,2010,original screenplay,9,25,17,29,47,-18,38,-21,horror mystery thriller,6840000.00,6.84,14740000.00,14.74,6.23,6230000,20970000,20.97,29.71,25,83.88,27.36
Faster,2010,original screenplay,41,44,42.5,50,67,-17,58.5,-16,action crime,8520000.00,8.52,23240000.00,23.24,12.39,12390000,35630000,35.63,34.77,24,148.46,35.5
Piranha 3-D,2010,remake / reboot,74,53,63.5,45,57,-12,51,12.5,comedy horror,10100000.00,10.1,25000000.00,25,58.19,58190000,83190000,83.19,69.95,24,346.63,42.08
Stone,2010,original screenplay,49,58,53.5,20,63,-43,41.5,12,thriller,75000.00,0.08,1810000.00,1.81,7.67,7670000,9480000,9.48,80.91,22,43.09,0.34
You Will Meet a Tall Dark Stranger,2010,original screenplay,43,51,47,35,66,-31,50.5,-3.5,comedy romance,160000.00,0.16,3240000.00,3.24,31.03,31030000,34270000,34.27,90.55,22,155.77,0.73
For Colored Girls,2010,adaptation,33,50,41.5,73,66,7,69.5,-28,drama,19500000.00,19.5,37730000.00,37.73,17.32,17320000,55050000,55.05,31.46,21,262.14,92.86
Death at a Funeral,2010,remake / reboot,40,51,45.5,48,51,-3,49.5,-4,comedy,16200000.00,16.2,42740000.00,42.74,6.31,6310000,49050000,49.05,12.86,21,233.57,77.14
The American,2010,adaptation,66,61,63.5,37,60,-23,48.5,15,crime thriller,13100000.00,13.1,35610000.00,35.61,32.27,32270000,67880000,67.88,47.54,20,339.4,65.5
The Last Song,2010,adaptation,19,33,26,66,45,21,55.5,-29.5,romance,16000000.00,16,62950000.00,62.95,26.09,26090000,89040000,89.04,29.3,20,445.2,80
Alpha and Omega,2010,original screenplay,17,36,26.5,41,53,-12,47,-20.5,animation adventure comedy,9100000.00,9.1,25110000.00,25.11,25.4,25400000,50510000,50.51,50.29,20,252.55,45.5
Daybreakers,2010,original screenplay,67,57,62,50,60,-10,55,7,action horror,15100000.00,15.1,30100000.00,30.1,21.31,21310000,51410000,51.41,41.45,20,257.05,75.5
Machete,2010,original screenplay,73,60,66.5,66,67,-1,66.5,0,action crime thriller,11000000.00,11,26590000.00,26.59,17.5,17500000,44090000,44.09,39.69,20,220.45,55
She's Out of My League,2010,original screenplay,57,46,51.5,60,68,-8,64,-12.5,comedy romance,9800000.00,9.8,32010000.00,32.01,17.77,17770000,49780000,49.78,35.7,20,248.9,49
Vampires Suck,2010,original screenplay,4,18,11,32,33,-1,32.5,-21.5,comedy,12200000.00,12.2,36660000.00,36.66,43.89,43890000,80550000,80.55,54.49,20,402.75,61
You Again,2010,original screenplay,18,28,23,45,53,-8,49,-26,comedy romance,8400000.00,8.4,25700000.00,25.7,6.3,6300000,32000000,32,19.69,20,160,42
The Crazies,2010,remake / reboot,72,55,63.5,54,70,-16,62,1.5,horror mystery thriller,16070000.00,16.07,39120000.00,39.12,15.68,15680000,54800000,54.8,28.61,20,274,80.35
Jackass 3-D,2010,sequel,63,56,59.5,72,74,-2,73,-13.5,documentary action comedy,50400000.00,50.4,117230000.00,117.23,54.46,54460000,171690000,171.69,31.72,20,858.45,252
Saw 3-D,2010,sequel,10,24,17,47,54,-7,50.5,-33.5,crime horror,22530000.00,22.53,45710000.00,45.71,90.44,90440000,136150000,136.15,66.43,20,680.75,112.65
Why Did I Get Married Too?,2010,sequel,27,43,35,67,65,2,66,-31,comedy romance,29300000.00,29.3,60090000.00,60.09,0.58,580000,60670000,60.67,0.96,20,303.35,146.5
The Switch,2010,adaptation,52,52,52,44,62,-18,53,-1,comedy romance,8400000.00,8.4,27780000.00,27.78,22.05,22050000,49830000,49.83,44.25,19,262.26,44.21
Leap Year,2010,original screenplay,21,33,27,49,54,-5,51.5,-24.5,comedy romance,9200000.00,9.2,25920000.00,25.92,6.69,6690000,32610000,32.61,20.52,19,171.63,48.42
127 Hours,2010,adaptation,93,82,87.5,84,79,5,81.5,6,adventure biography,2130000.00,2.13,18330000.00,18.33,42.4,42400000,60730000,60.73,69.82,18,337.39,11.83
Youth in Revolt,2010,original screenplay,68,63,65.5,52,66,-14,59,6.5,comedy romance,6900000.00,6.9,15280000.00,15.28,4.37,4370000,19650000,19.65,22.24,18,109.17,38.33
Brooklyn's Finest,2010,original screenplay,42,43,42.5,47,54,-7,50.5,-8,crime thriller,13400000.00,13.4,27160000.00,27.16,9.28,9280000,36440000,36.44,25.47,17,214.35,78.82
Remember Me,2010,original screenplay,28,40,34,70,80,-10,75,-41,romance,8000000.00,8,19070000.00,19.07,36.96,36960000,56030000,56.03,65.96,16,350.19,50
Diary of a Wimpy Kid,2010,adaptation,53,56,54.5,49,66,-17,57.5,-3,comedy family,22100000.00,22.1,64000000.00,64,11.7,11700000,75700000,75.7,15.46,15,504.67,147.33
Never Let Me Go,2010,adaptation,70,69,69.5,70,74,-4,72,-2.5,romance sci-fi,110000.00,0.11,2430000.00,2.43,7.02,7020000,9450000,9.45,74.29,15,63,0.73
I Love You Phillip Morris,2010,based on a true story,71,65,68,57,65,-8,61,7,comedy romance,110000.00,0.11,2040000.00,2.04,18.69,18690000,20730000,20.73,90.16,15,138.2,0.73
Country Strong,2010,original screenplay,20,45,32.5,56,57,-1,56.5,-24,music,7330000.00,7.33,20220000.00,20.22,0.31,310000,20530000,20.53,1.51,15,136.87,48.87
Solitary Man,2010,original screenplay,81,69,75,47,54,-7,50.5,24.5,comedy romance,90000.00,0.09,4360000.00,4.36,0.82,820000,5180000,5.18,15.83,15,34.53,0.6
Our Family Wedding,2010,original screenplay,14,38,26,49,55,-6,52,-26,comedy,7600000.00,7.6,20260000.00,20.26,1.15,1150000,21410000,21.41,5.37,14,152.93,54.29
Conviction,2010,original screenplay,68,61,64.5,71,70,1,70.5,-6,biography,1620000.00,1.62,6790000.00,6.79,2.92,2920000,9710000,9.71,30.07,12.5,77.68,12.96
Just Wright,2010,original screenplay,45,51,48,58,54,4,56,-8,comedy romance sport,8300000.00,8.3,21540000.00,21.54,0.03,30000,21570000,21.57,0.14,12,179.75,69.17
MacGruber,2010,adaptation,47,43,45,33,60,-27,46.5,-1.5,action comedy,4000000.00,4,8530000.00,8.53,0.8,800000,9330000,9.33,8.57,10,93.3,40
The Runaways,2010,adaptation,68,65,66.5,56,71,-15,63.5,3,biography music,800000.00,0.8,3570000.00,3.57,1.11,1110000,4680000,4.68,23.72,10,46.8,8
Devil,2010,original screenplay,52,44,48,45,63,-18,54,-6,horror mystery thriller,12300000.00,12.3,33600000.00,33.6,29.09,29090000,62690000,62.69,46.4,10,626.9,123
Skyline,2010,original screenplay,16,26,21,19,34,-15,26.5,-5.5,action sci-fi thriller,11690000.00,11.69,21390000.00,21.39,45.43,45430000,66820000,66.82,67.99,10,668.2,116.9
The Joneses,2010,original screenplay,61,55,58,47,68,-21,57.5,0.5,comedy drama,510000.00,0.51,1480000.00,1.48,0.49,490000,1970000,1.97,24.87,10,19.7,5.1
Easy A,2010,adaptation,85,72,78.5,75,73,2,74,4.5,comedy romance,17700000.00,17.7,58400000.00,58.4,16.55,16550000,74950000,74.95,22.08,8,936.88,221.25
Cyrus,2010,original screenplay,80,74,77,51,61,-10,56,21,romance,180000.00,0.18,7470000.00,7.47,2.45,2450000,9920000,9.92,24.7,7,141.71,2.57
City Island,2010,original screenplay,81,66,73.5,77,83,-6,80,-6.5,comedy,32000.00,0.03,6670000.00,6.67,1.2,1200000,7870000,7.87,15.25,6,131.17,0.53
The Kids Are All Right,2010,original screenplay,94,86,90,72,73,-1,72.5,17.5,comedy,3500000.00,3.5,20810000.00,20.81,13.89,13890000,34700000,34.7,40.03,4,867.5,87.5
Please Give,2010,original screenplay,88,78,83,62,74,-12,68,15,comedy,100000.00,0.1,4030000.00,4.03,0.28,280000,4310000,4.31,6.5,3,143.67,3.33
Paranormal Activity 2,2010,sequel,,53,53,,58,-58,58,-5,horror,40670000.00,40.67,84750000.00,84.75,92.76,92760000,177510000,177.51,52.26,3,5917,1355.67
Winter's Bone,2010,adaptation,94,90,92,73,73,0,73,19,drama,800000.00,0.8,6530000.00,6.53,7.3,7300000,13830000,13.83,52.78,2,691.5,40
Buried,2010,original screenplay,86,65,75.5,63,72,-9,67.5,8,mystery thriller,103000.00,0.1,1040000.00,1.04,18.11,18110000,19150000,19.15,94.57,2,957.5,5.15
The Last Exorcism,2010,original screenplay,73,63,68,32,61,-29,46.5,21.5,horror thriller,20400000.00,20.4,41030000.00,41.03,26.7,26700000,67730000,67.73,39.42,1.8,3762.78,1133.33
When in Rome,2010,original screenplay,15,25,20,44,47,-3,45.5,-25.5,comedy romance,12300000.00,12.3,32680000.00,32.68,10.36,10360000,43040000,43.04,24.07,1.3,3310.77,946.15
