film,year,script_type,Rotten_Tomatoes,Metacritic,Average_critics,Rotten_Tomatoes_Audience,Metacritic_Audience,Rotten_Tomatoes_vs_Metacritic_deviance,Average_audience,Audience_vs_Critics_deviance,Genre,Opening_Weekend,Opening_weekend_million,Domestic_Gross,Domestic_gross_million,Foreign_Gross_million,Foreign_Gross,Worldwide_Gross,Worldwide_Gross_million,Prcnt_of_Gross_earned_abroad,Budget_million,Budget_recovered,Budget_recovered_opening_weekend
Shutter Island,2010,adaptation,68,63,65.5,73,77,-4,75,-9.5,mystery thriller,41000000.00,41,128010000.00,128.01,166.79,166790000,294800000,294.8,56.58,80,368.5,51.25
Yogi Bear,2010,adaptation,14,35,24.5,36,43,-7,39.5,-15,animation adventure comedy,16400000.00,16.4,100250000.00,100.25,101.34,101340000,201590000,201.59,50.27,80,251.99,20.5
Grown Ups,2010,original screenplay,10,30,20,59,50,9,54.5,-34.5,comedy,40500000.00,40.5,162000000.00,162,109.43,109430000,271430000,271.43,40.32,80,339.29,50.63
The Book of Eli,2010,original screenplay,48,53,50.5,68,73,-5,70.5,-20,action adventure thriller,32700000.00,32.7,94840000.00,94.84,62.27,62270000,157110000,157.11,39.63,80,196.39,40.88
Killers,2010,original screenplay,11,21,16,45,38,7,41.5,-25.5,action comedy romance,15800000.00,15.8,47060000.00,47.06,51.1,51100000,98160000,98.16,52.06,75,130.88,21.07
Wall Street: Money Never Sleeps,2010,sequel,54,59,56.5,43,58,-15,50.5,6,drama,19000000.00,19,52470000.00,52.47,82.27,82270000,134740000,134.74,61.06,70,192.49,27.14
Dinner for Schmucks,2010,adaptation,43,56,49.5,47,59,-12,53,-3.5,comedy,23500000.00,23.5,73030000.00,73.03,13.83,13830000,86860000,86.86,15.92,69,125.88,34.06
Despicable Me,2010,original screenplay,81,72,76.5,81,76,5,78.5,-2,animation comedy crime,56400000.00,56.4,251510000.00,251.51,291.6,291600000,543110000,543.11,53.69,69,787.12,81.74
The Twilight Saga: Eclipse,2010,sequel,50,58,54,74,47,27,60.5,-6.5,adventure fantasy romance,64800000.00,64.8,300530000.00,300.53,397.96,397960000,698490000,698.49,56.97,68,1027.19,95.29
Eat Pray Love,2010,adaptation,36,50,43,46,48,-2,47,-4,romance,23100000.00,23.1,80570000.00,80.57,124.02,124020000,204590000,204.59,60.62,60,340.98,38.5
Scott Pilgrim vs. the World,2010,adaptation,81,69,75,83,80,3,81.5,-6.5,action comedy fantasy,10600000.00,10.6,31520000.00,31.52,16.14,16140000,47660000,47.66,33.86,60,79.43,17.67
Resident Evil: Afterlife,2010,sequel,24,37,30.5,53,54,-1,53.5,-23,action adventure horror,26700000.00,26.7,60130000.00,60.13,236.09,236090000,296220000,296.22,79.7,60,493.7,44.5
Red,2010,adaptation,71,60,65.5,72,70,2,71,-5.5,action comedy crime,21800000.00,21.8,90380000.00,90.38,108.63,108630000,199010000,199.01,54.59,58,343.12,37.59
Burlesque,2010,original screenplay,36,47,41.5,66,66,0,66,-24.5,musical romance,11950000.00,11.95,39440000.00,39.44,50.08,50080000,89520000,89.52,55.94,55,162.76,21.73
Date Night,2010,original screenplay,66,56,61,58,58,0,58,3,comedy crime romance,25200000.00,25.2,98710000.00,98.71,53.55,53550000,152260000,152.26,35.17,55,276.84,45.82
